序号,预期结果,转录结果,音频地址
11,Set purification to auto and turn left 10 degrees,Cipurification to auto and turn left 10°.,https://resources-dev-fat.dreo.com/files/people_woman/audio_01/1778565765227-93zrGPv9.pcm?t=1778566619015
12,Turn down the purifier a notch,Turn down the purifier notch.,https://resources-dev-fat.dreo.com/files/people_woman/audio_01/1778565765230-rNBwu2eX.pcm?t=1778566619015
13,Turn up the purifier a bit,Turn off the periphery page.,https://resources-dev-fat.dreo.com/files/people_woman/audio_01/1778565765235-gdSUYmK7.pcm?t=1778566619015
14,switch to Breeze mode,Search to breathe mode.,https://resources-dev-fat.dreo.com/files/people_woman/audio_01/1778565765228-huaSr1Qj.pcm?t=1778566619015
15,Switch to sleep mode and how's the air,Switch to sleep mode and house the air.,https://resources-dev-fat.dreo.com/files/people_woman/audio_01/1778565765250-zhYGn39u.pcm?t=1778566619015
16,"Put it in sleep mode, fan on 3, mute the beeps, and shut off in an hour",Play in sleep mode 503 near the beeps and shut off in an hour.,https://resources-dev-fat.dreo.com/files/people_woman/audio_01/1778565765258-YjX81LBQ.pcm?t=1778566619015
17,"Just finished cooking and the kitchen smells terrible—bump it to 10, hold it still, and start purifying","Just finished the cooking and the kitchen smells terrible. Bump it to 10, hold still and start purifying.",https://resources-dev-fat.dreo.com/files/people_woman/audio_01/1778565765260-uEPmZwVR.pcm?t=1778566619015
18,"Kitchen's smoky—speed 10, start swinging, and also purify on",Kitchen Smokey speed 10 star swing and also purify on.,https://resources-dev-fat.dreo.com/files/people_woman/audio_01/1778565765262-lnzuBKnz.pcm?t=1778566619015
19,"Going to work—fan speed level 3, stop swinging, and start purifying",Going to work funds be Level 3. Stop swinging and start purifying.,https://resources-dev-fat.dreo.com/files/people_woman/audio_01/1778565765261-Vot2396a.pcm?t=1778566619015
20,"Heading out—speed 10, start oscillation, and purify on","Heading out, speed 10 star oscillation and purify on.",https://resources-dev-fat.dreo.com/files/people_woman/audio_01/1778565765264-G8imxtVd.pcm?t=1778566619015
21,"I'm home—set speed to 10, start swinging, and start the purifier","I'm home, says Peter. Ten starts swimming and start the purifier.",https://resources-dev-fat.dreo.com/files/people_woman/audio_01/1778565765267-UG2HvKJw.pcm?t=1778566619015
22,"The baby's sleeping—speed 10, start oscillation, start purifying",The baby is sleeping. Spittin star oscillation star purifying.,https://resources-dev-fat.dreo.com/files/people_woman/audio_01/1778565765271-kZ57zsYv.pcm?t=1778566619015
23,"Friends are coming and the place is stuffy—crank it up to 10, turn on oscillation, and start purifying",Friends are calming and the place is stuffy. Cranky up to 10. Turn on oscillation and start purifying.,https://resources-dev-fat.dreo.com/files/people_woman/audio_01/1778565765266-71f2OeAc.pcm?t=1778566619015
24,"I'm drenched in sweat—set speed to 10, oscillate, and mute it",I'm drenched in sweat. Sets B210 oscillate and muted.,https://resources-dev-fat.dreo.com/files/people_woman/audio_01/1778565765269-LgpRGYXe.pcm?t=1778566619015
25,cherry blossom light scene,Cherry blossom light sea.,https://resources-dev-fat.dreo.com/files/people_woman/audio_01/1778565765275-pOUuD6nl.pcm?t=1778566619015
26,"I'm sweating—set speed to 3, and stop swinging",I'm sweating. Set speed to three and stop swaying.,https://resources-dev-fat.dreo.com/files/people_woman/audio_01/1778565765280-sHCVypwN.pcm?t=1778566619015
27,"It's so hot—put the purifier on auto, and how loud is it running?",It's so hot. Put a purifier on auto and how loud is it running?,https://resources-dev-fat.dreo.com/files/people_woman/audio_01/1778565765281-0NrUhKqs.pcm?t=1778566619015
28,"Company's coming soon, I'm burning up, set purifier to auto, and how humid is it",Companies Commission and burning up set purifier to auto and how humid is it?,https://resources-dev-fat.dreo.com/files/people_woman/audio_01/1778565765283-qWKLAQck.pcm?t=1778566619015
29,It's so hot. Also start the humidifier. Oh and air quality?.,"It's so hot. Also start a humidifier. Oh, and air quality.",https://resources-dev-fat.dreo.com/files/people_woman/audio_01/1778565765284-expdVUV4.pcm?t=1778566619015
30,Set fixed direction to 180 degrees,Suffix direction to 180°.,https://resources-dev-fat.dreo.com/files/people_woman/audio_01/1778565765287-T8rqCyo9.pcm?t=1778566619015
31,"Point it 120 degrees right,speed 8,purification on",.820° Right speed 8 Purification on.,https://resources-dev-fat.dreo.com/files/people_woman/audio_01/1778565765292-ySXBD2uy.pcm?t=1778566619015
32,"kid is home alone—lock it, drop speed to 3, and mute it",Kid is home alone Locket drop speed to three and mute it.,https://resources-dev-fat.dreo.com/files/people_woman/audio_01/1778565765294-FxZQH9Aa.pcm?t=1778566619015
33,"Hey, purify on, kill the purifier, and bump it to 10 please",Hey purify on kill the purifier and bump it to tent please.,https://resources-dev-fat.dreo.com/files/people_woman/audio_01/1778565765300-3dCa0k3M.pcm?t=1778566619015
34,Oscillate up and down,Aussie up and down.,https://resources-dev-fat.dreo.com/files/people_woman/audio_01/1778565765302-WwGYznu3.pcm?t=1778566619015
35,More power and tilt it left a bit,More power and tilted life a bit.,https://resources-dev-fat.dreo.com/files/people_woman/audio_01/1778565765312-RdJ5suwI.pcm?t=1778566619015
36,"get it going, I want some ambiance","Get going, I want some ambience.",https://resources-dev-fat.dreo.com/files/people_woman/audio_01/1778565765319-UyqyoVIY.pcm?t=1778566619015
37,Turn on and unmute,Turn on an omelette.,https://resources-dev-fat.dreo.com/files/people_woman/audio_01/1778565765326-UzLiFIgH.pcm?t=1778566619015
38,Turn on and set the swing range to 60 degrees,Turn on. Set the screen range to 60°.,https://resources-dev-fat.dreo.com/files/people_woman/audio_01/1778565765324-oQNzR0SX.pcm?t=1778566619015
39,Turn on and mute,Turn on unmute.,https://resources-dev-fat.dreo.com/files/people_woman/audio_01/1778565765328-feMQNRxo.pcm?t=1778566619015
40,just a tiny bit brighter,Just a little bit brighter.,https://resources-dev-fat.dreo.com/files/people_woman/audio_01/1778565765333-xjQYhoga.pcm?t=1778566619015
41,ease the lights down just a notch,Is the lights down just a notch?,https://resources-dev-fat.dreo.com/files/people_woman/audio_01/1778565765334-IvGNxRV0.pcm?t=1778566619015
42,breeze mode and fan speed 8,Bridge mode FSB 8.,https://resources-dev-fat.dreo.com/files/people_woman/audio_01/1778565765336-Tb6Ehdg4.pcm?t=1778566619015
43,"I'm cooking,turn up the fan and purifier",I'm cooking. Turn off the fan purifier.,https://resources-dev-fat.dreo.com/files/people_woman/audio_01/1778565765337-smyrVPTX.pcm?t=1778566619015
44,Set the beep volume to 50 percent,Set the bit volume to 50%.,https://resources-dev-fat.dreo.com/files/people_woman/audio_01/1778565765341-kzAomO00.pcm?t=1778566619015
45,How is the filter? Turn on purification,How's the filter turn on purification?,https://resources-dev-fat.dreo.com/files/people_woman/audio_01/1778565765357-2YipwbrS.pcm?t=1778566619015
46,How much filter is left? Show it on the screen,How much filter is left showing on the screen?,https://resources-dev-fat.dreo.com/files/people_woman/audio_01/1778565765360-CAte3F7P.pcm?t=1778566619015
47,What is the temperature? Switch to normal mode,What's the temperature switch to normal mode?,https://resources-dev-fat.dreo.com/files/people_woman/audio_01/1778565765359-YxvOjshq.pcm?t=1778566619015
48,What's the power consumption and how's the filter,What's the power consumption and host filter?,https://resources-dev-fat.dreo.com/files/people_woman/audio_01/1778565765363-ene2Cy3F.pcm?t=1778566619015
49,turn up the fan and make the oscillation wider,Turn off the fan and make the oscillation wider.,https://resources-dev-fat.dreo.com/files/people_woman/audio_01/1778565765366-3ed7Kpi0.pcm?t=1778566619015
50,"feels stuffy, need something more natural",Feel stuffy? Need something more natural?,https://resources-dev-fat.dreo.com/files/people_woman/audio_01/1778565765371-ZOvAreEQ.pcm?t=1778566619015
51,it's blinding in here,It's blending in here.,https://resources-dev-fat.dreo.com/files/people_woman/audio_01/1778565765376-2ifr0CYf.pcm?t=1778566619015
52,ease up on the purification,Ease up the purification.,https://resources-dev-fat.dreo.com/files/people_woman/audio_01/1778565765376-W0HyDxlw.pcm?t=1778566619015
53,fan speed 8 and set ambient light brightness to 70,Fuzzy ate and set ambient light. Brandon's 270.,https://resources-dev-fat.dreo.com/files/people_woman/audio_01/1778565765388-RZohdzm2.pcm?t=1778566619015
54,marquee light effect,Markula effect.,https://resources-dev-fat.dreo.com/files/people_woman/audio_01/1778565765404-mlf5LLHK.pcm?t=1778566619015
55,Shut the fan off but put purification on max,"Shut the phone off, but put purification on Macs.",https://resources-dev-fat.dreo.com/files/people_woman/audio_01/1778565765413-Vp7ezGKJ.pcm?t=1778566619015
56,Turn it off and start oscillation,Turn off and start oscillation.,https://resources-dev-fat.dreo.com/files/people_woman/audio_01/1778565765416-TP0InJUr.pcm?t=1778566619015
57,Turn it off and start the purifier,Turn off and start the purifier.,https://resources-dev-fat.dreo.com/files/people_woman/audio_01/1778565765418-tFdpT7w3.pcm?t=1778566619015
58,"movie night—mute it, dim the lights to 20, and drop speed to 3",Movie night. Music. Dim the lights to 20 and drop speed to three.,https://resources-dev-fat.dreo.com/files/people_woman/audio_01/1778565765421-rhnDPqoz.pcm?t=1778566619015
59,"Turn it on, switch to auto mode, and set the fan to speed 3","Turn it on, switch to auto mode and set the fan speed to three.",https://resources-dev-fat.dreo.com/files/people_woman/audio_01/1778565765426-BHpDOfLv.pcm?t=1778566619015
60,"natural mode, speed 6, oscillation on",Natural mode B6 oscillation on.,https://resources-dev-fat.dreo.com/files/people_woman/audio_01/1778565765429-Z5l062Wr.pcm?t=1778566619015
61,Point it at 180 degrees and what speed is it on,Pointed at 180° and what speed is on?,https://resources-dev-fat.dreo.com/files/people_woman/audio_01/1778565765432-fm3RH9g6.pcm?t=1778566619015
62,Oscillate up and down and set speed to 5,Oscillation up and down at set speed to 5.,https://resources-dev-fat.dreo.com/files/people_woman/audio_01/1778565765440-PI7tQPws.pcm?t=1778566619015
63,What mode is it in and what's the purification level,What more is it in and what's the purification level?,https://resources-dev-fat.dreo.com/files/people_woman/audio_01/1778565765443-rZtn96N0.pcm?t=1778566619015
64,Set the swing range to 90 degrees and switch to sleep mode,Set a swing range to 90° and switch to sleep mode.,https://resources-dev-fat.dreo.com/files/people_woman/audio_01/1778565765444-aUidamQj.pcm?t=1778566619015
65,"just finished a workout—crank it to 10, start oscillating, and max the purifier","Just finished the workout. Crank it to 10, start oscillating and Max the purifier.",https://resources-dev-fat.dreo.com/files/people_woman/audio_01/1778565765460-dJl7QHex.pcm?t=1778566619015
66,crank the volume up to max and turn on purification,Crank the volume up to Max and turn the purification.,https://resources-dev-fat.dreo.com/files/people_woman/audio_01/1778565765467-wLTlmI76.pcm?t=1778566619015
67,turn the volume down to 30 and set fan speed to 5,Turn the volume down to 30 and set the fence speed to 5.,https://resources-dev-fat.dreo.com/files/people_woman/audio_01/1778565765468-LzqD7mSn.pcm?t=1778566619015
68,"Volume 200,sleep mode,speed 3",Volume to 100. Sleep mode speed 3.,https://resources-dev-fat.dreo.com/files/people_woman/audio_01/1778565765471-y5SAOsxv.pcm?t=1778566619015
69,A little more wind and swing wider,A little more wind and soon wider.,https://resources-dev-fat.dreo.com/files/people_woman/audio_01/1778565765476-da753a9v.pcm?t=1778566619015
70,Ease up on the fan a little,Isa found the phone a little.,https://resources-dev-fat.dreo.com/files/people_woman/audio_01/1778565765479-Px8ooRaa.pcm?t=1778566619015
71,Less wind and more purification,Less wine and more purification.,https://resources-dev-fat.dreo.com/files/people_woman/audio_01/1778565765481-E6a1em3y.pcm?t=1778566619015
72,Nudge it left a bit and crank the speed to 8,Najee laughed a bit and cranked the speed to 8.,https://resources-dev-fat.dreo.com/files/people_woman/audio_01/1778565765484-8HX9xMyu.pcm?t=1778566619015
73,"crank it to 10, 120-degree oscillation range, and purification level 2",Crank it to 10120° oscillation range and purification level 2.,https://resources-dev-fat.dreo.com/files/people_woman/audio_01/1778565765485-T7ke7H0K.pcm?t=1778566619015
74,"Speed 3,auto purify",Spree auto purify.,https://resources-dev-fat.dreo.com/files/people_woman/audio_01/1778565765486-KP640qrv.pcm?t=1778566619015
75,Set fan speed to level 3 and mute,Set fast speed to Level 3 and mute.,https://resources-dev-fat.dreo.com/files/people_woman/audio_01/1778565765488-l1w5nja6.pcm?t=1778566619015
76,set fan speed to level 5 and turn on purification,Set Fast Speed to level 5 and turn on purification.,https://resources-dev-fat.dreo.com/files/people_woman/audio_01/1778565765489-HTxjt9Yu.pcm?t=1778566619015
77,set fan speed to level 8 and set oscillation range to max,Surface speed to level 8 and set oscillation range to Max.,https://resources-dev-fat.dreo.com/files/people_woman/audio_01/1778565765493-ifa3ZB21.pcm?t=1778566619015
78,set fan speed to  eight,Set front speed to 8.,https://resources-dev-fat.dreo.com/files/people_woman/audio_01/1778565765493-WjJs3tvL.pcm?t=1778566619015
79,Set fan speed to level 0,Set Fast speed to level 0.,https://resources-dev-fat.dreo.com/files/people_woman/audio_01/1778565765493-xfG464gd.pcm?t=1778566619015
80,"Set speed to 10, put purification on auto, and turn on the humidifier",Set B to 10. Put purification on auto and turn on the humidifier.,https://resources-dev-fat.dreo.com/files/people_woman/audio_01/1778565765507-1F6knNCB.pcm?t=1778566619015
