dataset,sample_id,service,locale,duration_s,reference,hypothesis,wer,sentence_error,ins,del,sub,ref_len,first_latency_ms,lbl_ms,upl_ms,upl_self_ms,upl_anchor,speech_start_s,speech_end_s,boundary_fix_action,first_word_start_s,last_word_end_s,vad_truncated_s,error
nb-NO_DT1,1l_nb-NO_male-DT1/042.Slå på smarte fjernlys.wav,fast_mai_1,nb-NO,3.65,Slå på smarte fjernlys,Slå på smarte fjernlist.,0.25,1,0,0,1,4,4119.3,619.0,1119.5,619.5,realtime,1.14,3.0,none,,,3.5,
nb-NO_DT1,2r_nb-NO_female-DT1/135.Spill radio.wav,realtime,nb-NO,3.02,Spill radio,Spill radio.,0.0,0,0,0,0,2,1020.6,-151.4,878.9,878.9,realtime,1.09,2.07,none,1.09,2.07,,
nb-NO_DT1,2r_nb-NO_female-DT1/135.Spill radio.wav,fast_mai_1,nb-NO,3.02,Spill radio,Spill radio.,0.0,0,0,0,0,2,3050.2,449.7,980.2,480.2,realtime,1.09,2.07,none,,,2.57,
nb-NO_DT1,2r_nb-NO_female-DT1/135.Spill radio.wav,whisper_v3,nb-NO,3.02,Spill radio,Spill radio.,0.0,0,0,0,0,2,3147.5,546.9,1077.4,1067.4,realtime,1.09,2.07,none,,,2.57,
nb-NO_DT1,2r_nb-NO_female-DT1/135.Spill radio.wav,fast_default,nb-NO,3.02,Spill radio,Spill radio.,0.0,0,0,0,0,2,3180.3,579.8,1110.2,1100.2,realtime,1.09,2.07,none,,,2.57,
nb-NO_DT1,1r_nb-NO_male-DT1/027.Kan du flytte seteryggen helt fremover.wav,realtime,nb-NO,4.24,Kan du flytte seteryggen helt fremover,Kan beslutte seteryggen.,0.6667,1,0,3,1,6,1011.7,-328.9,1371.3,1371.3,realtime,,,skip,1.1,2.6,,
nb-NO_DT1,1r_nb-NO_male-DT1/027.Kan du flytte seteryggen helt fremover.wav,fast_mai_1,nb-NO,4.24,Kan du flytte seteryggen helt fremover,kan du flytte seteryggen helt fremover.,0.0,0,0,0,0,6,4773.9,473.6,533.9,533.9,self,,,skip,,,,
nb-NO_DT1,1r_nb-NO_male-DT1/027.Kan du flytte seteryggen helt fremover.wav,whisper_v3,nb-NO,4.24,Kan du flytte seteryggen helt fremover,"Kan du flytte c., t. lyden rett fram?",0.8333,1,2,0,3,6,4916.3,616.2,1716.3,1716.3,self,,,skip,,,,
nb-NO_DT1,1r_nb-NO_male-DT1/027.Kan du flytte seteryggen helt fremover.wav,fast_default,nb-NO,4.24,Kan du flytte seteryggen helt fremover,"Kan du flytte c., t. lyden rett fram?",0.8333,1,2,0,3,6,4967.0,667.0,1767.1,1767.1,self,,,skip,,,,
nb-NO_DT1,1l_nb-NO_female-DT1/055.Ta et bilde.wav,realtime,nb-NO,2.83,Ta et bilde,Ta et bilde.,0.0,0,0,0,0,3,1041.0,332.0,1082.5,1082.5,realtime,1.15,2.15,none,1.15,2.15,,
nb-NO_DT1,1l_nb-NO_female-DT1/055.Ta et bilde.wav,fast_mai_1,nb-NO,2.83,Ta et bilde,Ta et bilde.,0.0,0,0,0,0,3,3181.3,481.0,1031.4,531.4,realtime,1.15,2.15,none,,,2.65,
nb-NO_DT1,1l_nb-NO_female-DT1/055.Ta et bilde.wav,fast_default,nb-NO,2.83,Ta et bilde,Ta et bilde.,0.0,0,0,0,0,3,3236.6,536.2,1086.7,1236.7,realtime,1.15,2.15,none,,,2.65,
nb-NO_DT1,1l_nb-NO_female-DT1/055.Ta et bilde.wav,whisper_v3,nb-NO,2.83,Ta et bilde,Ta et bilde.,0.0,0,0,0,0,3,3277.9,577.2,1128.0,1198.0,realtime,1.15,2.15,none,,,2.65,
nb-NO_DT1,2r_nb-NO_male-DT1/100.Vis kart.wav,realtime,nb-NO,2.78,Vis kart,Start.,1.0,1,0,1,1,2,1594.5,264.2,1064.4,1064.4,realtime,,,skip,1.3,2.0,,
nb-NO_DT1,2r_nb-NO_male-DT1/100.Vis kart.wav,fast_mai_1,nb-NO,2.78,Vis kart,,1.0,1,0,2,0,2,3307.3,506.9,528.2,528.2,self,,,skip,,,,
nb-NO_DT1,2r_nb-NO_male-DT1/100.Vis kart.wav,fast_default,nb-NO,2.78,Vis kart,Span.,1.0,1,0,1,1,2,3381.9,581.8,1542.0,1542.0,self,,,skip,,,,
nb-NO_DT1,2r_nb-NO_male-DT1/100.Vis kart.wav,whisper_v3,nb-NO,2.78,Vis kart,Span.,1.0,1,0,1,1,2,3422.7,622.5,1582.6,1582.6,self,,,skip,,,,
nb-NO_DT1,1r_nb-NO_female-DT1/108.gå til forrige side.wav,realtime,nb-NO,3.22,gå til forrige side,Gå til forrige side.,0.0,0,0,0,0,4,992.2,49.1,879.2,879.2,realtime,1.1,2.47,none,1.1,2.47,,
nb-NO_DT1,1r_nb-NO_female-DT1/108.gå til forrige side.wav,whisper_v3,nb-NO,3.22,gå til forrige side,Gå til forrige side.,0.0,0,0,0,0,4,3544.4,544.2,1074.5,1064.5,realtime,1.1,2.47,none,,,2.97,
nb-NO_DT1,1r_nb-NO_female-DT1/108.gå til forrige side.wav,fast_mai_1,nb-NO,3.22,gå til forrige side,Gå til følgende side:,0.25,1,0,0,1,4,3579.8,579.4,1109.9,609.9,realtime,1.1,2.47,none,,,2.97,
nb-NO_DT1,1r_nb-NO_female-DT1/108.gå til forrige side.wav,fast_default,nb-NO,3.22,gå til forrige side,Gå til forrige side.,0.0,0,0,0,0,4,3592.1,591.7,1122.1,1112.1,realtime,1.1,2.47,none,,,2.97,
nb-NO_DT1,2l_nb-NO_male-DT1/110.Side fire.wav,realtime,nb-NO,2.9,Side fire,Side 4.,0.5,1,0,0,1,2,997.3,79.1,889.2,889.2,realtime,1.12,2.09,none,1.12,2.09,,
nb-NO_DT1,2l_nb-NO_male-DT1/110.Side fire.wav,fast_mai_1,nb-NO,2.9,Side fire,Side 4.,0.5,1,0,0,1,2,3025.6,425.3,935.6,435.6,realtime,1.12,2.09,none,,,2.59,
nb-NO_DT1,2l_nb-NO_male-DT1/110.Side fire.wav,fast_default,nb-NO,2.9,Side fire,Side 4.,0.5,1,0,0,1,2,3121.9,521.3,1031.9,961.9,realtime,1.12,2.09,none,,,2.59,
nb-NO_DT1,2l_nb-NO_male-DT1/110.Side fire.wav,whisper_v3,nb-NO,2.9,Side fire,Side 4.,0.5,1,0,0,1,2,3174.9,574.7,1084.9,1094.9,realtime,1.12,2.09,none,,,2.59,
nb-NO_DT1,1r_nb-NO_male-DT1/002.slå av klimaanlegget foran.wav,realtime,nb-NO,3.92,slå av klimaanlegget foran,Slå av klimaanlegget foran.,0.0,0,0,0,0,4,986.3,271.6,1032.0,1032.0,realtime,1.2,3.24,none,1.2,3.24,,
nb-NO_DT1,1r_nb-NO_male-DT1/002.slå av klimaanlegget foran.wav,fast_mai_1,nb-NO,3.92,slå av klimaanlegget foran,Slå av klimaanlegget foran.,0.0,0,0,0,0,4,4224.2,423.7,984.3,484.3,realtime,1.2,3.24,none,,,3.74,
nb-NO_DT1,1r_nb-NO_male-DT1/002.slå av klimaanlegget foran.wav,fast_default,nb-NO,3.92,slå av klimaanlegget foran,Blå av klimaanlegget foran.,0.25,1,0,0,1,4,4388.4,588.3,1148.5,1188.5,realtime,1.2,3.24,none,,,3.74,
nb-NO_DT1,1r_nb-NO_male-DT1/002.slå av klimaanlegget foran.wav,whisper_v3,nb-NO,3.92,slå av klimaanlegget foran,Blå av klimaanlegget foran.,0.25,1,0,0,1,4,4411.6,611.3,1171.6,1291.6,realtime,1.2,3.24,none,,,3.74,
nb-NO_DT1,2r_nb-NO_female-DT1/020.Øk temperaturen på førersetets setevarme litt.wav,realtime,nb-NO,4.72,Øk temperaturen på førersetets setevarme litt,Øk temperaturen på førersetet. Setevarme litt.,0.1667,1,0,0,1,6,911.6,-93.0,937.3,937.3,realtime,0.99,3.77,none,0.99,3.77,,
nb-NO_DT1,2r_nb-NO_female-DT1/020.Øk temperaturen på førersetets setevarme litt.wav,fast_mai_1,nb-NO,4.72,Øk temperaturen på førersetets setevarme litt,Øk temperaturen på førersetets setevarme litt.,0.0,0,0,0,0,6,4758.4,458.4,988.5,489.5,realtime,0.99,3.77,none,,,4.27,
nb-NO_DT1,2r_nb-NO_female-DT1/020.Øk temperaturen på førersetets setevarme litt.wav,fast_default,nb-NO,4.72,Øk temperaturen på førersetets setevarme litt,Øk temperaturen på å føre seg til et stedevarende hit.,1.1667,1,4,0,3,6,4941.3,641.2,1171.4,1101.4,realtime,0.99,3.77,none,,,4.27,
nb-NO_DT1,2r_nb-NO_female-DT1/020.Øk temperaturen på førersetets setevarme litt.wav,whisper_v3,nb-NO,4.72,Øk temperaturen på førersetets setevarme litt,Øk temperaturen på å føre seg til et stedevarende hit.,1.1667,1,4,0,3,6,4996.9,696.9,1227.0,1157.0,realtime,0.99,3.77,none,,,4.27,
nb-NO_DT1,1l_nb-NO_female-DT1/014.Slå på ekstern sirkulasjon.wav,realtime,nb-NO,3.8,Slå på ekstern sirkulasjon,Slå på ekstern sirkulasjon.,0.0,0,0,0,0,4,601.9,171.8,942.1,942.1,realtime,1.05,3.03,none,1.05,3.03,,
nb-NO_DT1,1l_nb-NO_female-DT1/014.Slå på ekstern sirkulasjon.wav,fast_mai_1,nb-NO,3.8,Slå på ekstern sirkulasjon,Slå på ekstansiplasjon.,0.5,1,0,1,1,4,4051.2,450.8,1021.2,521.2,realtime,1.05,3.03,none,,,3.53,
nb-NO_DT1,1l_nb-NO_female-DT1/014.Slå på ekstern sirkulasjon.wav,fast_default,nb-NO,3.8,Slå på ekstern sirkulasjon,Slå på ekstern sirkulasjon.,0.0,0,0,0,0,4,4191.7,591.6,1161.7,1151.7,realtime,1.05,3.03,none,,,3.53,
nb-NO_DT1,1l_nb-NO_female-DT1/014.Slå på ekstern sirkulasjon.wav,whisper_v3,nb-NO,3.8,Slå på ekstern sirkulasjon,Slå på ekstern sirkulasjon.,0.0,0,0,0,0,4,4271.0,670.8,1241.1,1231.1,realtime,1.05,3.03,none,,,3.53,
nb-NO_DT1,1r_nb-NO_male-DT1/120.Legg til Starbucks som et veipunkt.wav,realtime,nb-NO,4.08,Legg til Starbucks som et veipunkt,Legg til starbucks som et veipunkt.,0.0,0,0,0,0,6,971.8,346.9,1147.4,1147.4,realtime,1.13,3.3,none,1.13,3.3,,
nb-NO_DT1,1r_nb-NO_male-DT1/120.Legg til Starbucks som et veipunkt.wav,fast_mai_1,nb-NO,4.08,Legg til Starbucks som et veipunkt,Lett til Starbucks som et bypunkt.,0.3333,1,0,0,2,6,4225.6,425.2,925.6,425.6,realtime,1.13,3.3,none,,,3.8,
nb-NO_DT1,1r_nb-NO_male-DT1/120.Legg til Starbucks som et veipunkt.wav,whisper_v3,nb-NO,4.08,Legg til Starbucks som et veipunkt,Rett til starbucks som et veipunkt.,0.1667,1,0,0,1,6,4451.3,651.3,1151.6,1171.6,realtime,1.13,3.3,none,,,3.8,
nb-NO_DT1,1r_nb-NO_male-DT1/120.Legg til Starbucks som et veipunkt.wav,fast_default,nb-NO,4.08,Legg til Starbucks som et veipunkt,Rett til starbucks som et veipunkt.,0.1667,1,0,0,1,6,4454.4,654.4,1154.6,1174.6,realtime,1.13,3.3,none,,,3.8,
nb-NO_DT1,2l_nb-NO_male-DT1/116.Bytt til raskeste rute.wav,realtime,nb-NO,3.48,Bytt til raskeste rute,Hvitt til raskeste rud.,0.5,1,0,0,2,4,1055.3,-33.6,936.6,936.6,realtime,1.14,2.53,none,1.14,2.53,,
